company,location_hq,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in_mil,year,latitude,longitude,mapped_industry,profit_margins,pe_ratio
ShareChat,Bengaluru,India,Asia,200,2023-12-20,15.0,1333,1133,Consumer,Series H,1700.0,2023,12.97194,77.59369,Consumer,0.17082623261628355,113.24898568126481
Fi.Money,Bengaluru,India,Asia,30,2023-09-27,10.0,300,270,Finance,Series C,137.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Gupy,Sao Paulo,Brazil,South America,58,2023-08-02,8.0,725,667,HR,Series B,105.0,2023,-23.5475,-46.63611,HR,0.06034258863211765,164.1777929426829
Indeed,Austin,USA,North America,2200,2023-03-22,15.0,14667,12467,HR,Acquired,5.0,2023,30.26715,-97.74306,HR,0.06034258863211765,164.1777929426829
Enphase Energy,San Francisco Bay Area,USA,North America,350,2023-12-18,10.0,3500,3150,Energy,Post-IPO,116.0,2023,37.54827,-121.98857,Energy,0.4247239053189012,104.4788185080283
Cruise,San Francisco Bay Area,USA,North America,900,2023-12-14,24.0,3750,2850,Transportation,Acquired,15000.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Bolt,San Francisco Bay Area,USA,North America,130,2023-12-14,29.0,450,320,Finance,Series E,1300.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Invitae,San Francisco Bay Area,USA,North America,235,2023-12-13,15.0,1567,1332,Healthcare,Post-IPO,2500.0,2023,37.77493,-122.41942,Healthcare,0.5421634367891365,286.19442704934613
Etsy,New York City,USA,North America,225,2023-12-13,11.0,2045,1820,Retail,Post-IPO,97.0,2023,40.71427,-74.00597,Consumer,0.17082623261628355,113.24898568126481
Chipper Cash,San Francisco Bay Area,USA,North America,15,2023-12-11,33.0,45,30,Finance,Series C,302.0,2023,37.77493,-122.41942,Other,0.31267793340442784,149.10145341991296
Zulily,Seattle,USA,North America,839,2023-12-08,100.0,839,0,Retail,Acquired,194.0,2023,47.60621,-122.33207,Consumer,0.17082623261628355,113.24898568126481
ZestMoney,Bengaluru,India,Asia,150,2023-12-05,100.0,150,0,Finance,Series C,120.0,2023,12.97194,77.59369,Other,0.31267793340442784,149.10145341991296
Incredibuild,Tel Aviv,Israel,Asia,40,2023-12-05,20.0,200,160,Product,Series B,35.0,2023,32.08088,34.78057,Other,0.31267793340442784,149.10145341991296
