symbol,name,price,exchange,exchangeShortName,type
VELJAN.BO,Veljan Denison Limited,3629.9,Bombay Stock Exchange,BSE,stock
1655.HK,Okura Holdings Limited,0.365,HKSE,HKSE,stock
ROYL,"Royale Energy, Inc.",0.065,Other OTC,PNK,stock
PEY.TO,Peyto Exploration & Development Corp.,15.04,Toronto Stock Exchange,TSX,stock
SANGAMFIN.BO,Sangam Finserv Limited,105.0,Bombay Stock Exchange,BSE,stock
CNLPL,The Connecticut Light and Power Company,51.93,Other OTC,PNK,stock
DODLX,Dodge & Cox Global Bond Fund,10.74,NASDAQ,NASDAQ,trust
BOLSAA.MX,"Bolsa Mexicana de Valores, S.A.B. de C.V.",36.47,Mexico,MEX,stock
300807.SZ,"Zhengzhou Tiamaes Technology Co., Ltd",27.87,Shenzhen,SHZ,stock
300567.SZ,"Wuhan Jingce Electronic Group Co.,Ltd",67.6,Shenzhen,SHZ,stock
7084.KL,QL Resources Berhad,5.96,Kuala Lumpur,KLS,stock
271560.KS,ORION Corp.,93400.0,KSE,KSC,stock
HVRRY,Hannover Rück SE,45.02,Other OTC,PNK,stock
603332.SS,"Suzhou Longjie Special Fiber Co., Ltd.",8.65,Shanghai,SHH,stock
XEC.TO,iShares Core MSCI Emerging Markets IMI Index ETF,27.18,Toronto Stock Exchange,TSX,etf
601600.SS,Aluminum Corporation of China Limited,7.23,Shanghai,SHH,stock
NESCO.NS,Nesco Limited,849.7,National Stock Exchange of India,NSE,stock
AUGX,"Augmedix, Inc.",4.02,NASDAQ Capital Market,NASDAQ,stock
9719.T,SCSK Corporation,2765.0,Tokyo,JPX,stock
MEGACPO.MX,"Megacable Holdings, S. A. B. de C. V.",48.47,Mexico,MEX,stock
TCN.TO,Tricon Residential Inc.,15.15,Toronto Stock Exchange,TSX,stock
MRAAY,"Murata Manufacturing Co., Ltd.",9.19,Other OTC,PNK,stock
8005.HK,Yuxing InfoTech Investment Holdings Limited,0.173,HKSE,HKSE,stock
3838.HK,China Starch Holdings Limited,0.15,HKSE,HKSE,stock
300062.SZ,"Ceepower Co., Ltd.",5.16,Shenzhen,SHZ,stock
COHR,"Coherent, Inc.",58.9,NASDAQ Global Select,NASDAQ,stock
603178.SS,"Ningbo Shenglong Automotive Powertrain System Co.,Ltd.",30.05,Shanghai,SHH,stock
PTEZX,PGIM Quant Solutions Large-Cap Core Equity Fund,21.55,NASDAQ,NASDAQ,trust
TNPF.BK,Trinity Freehold and Leasehold Property Fund,1.68,Thailand,SET,trust
002338.SZ,"Changchun UP Optotech Co.,Ltd.",30.92,Shenzhen,SHZ,stock
MRAM,"Everspin Technologies, Inc.",7.82,NASDAQ Global Market,NASDAQ,stock
MITRA.BR,Mithra Pharmaceuticals SA,0.247,Brussels,EURONEXT,stock
AOI.ST,Africa Oil Corp.,19.18,Stockholm Stock Exchange,STO,stock
FSV,FirstService Corporation,161.56,NASDAQ Global Select,NASDAQ,stock
ASML.WA,ASML Holding N.V.,3997.5,Warsaw Stock Exchange,WSE,stock
CONTAINE.BO,CONTAINE TECHNOLOGIES LIMITED,83.4,Bombay Stock Exchange,BSE,stock
ESSA,"ESSA Bancorp, Inc.",17.49,NASDAQ Global Select,NASDAQ,stock
0QYR.L,Panasonic Corp,1389.2976,London Stock Exchange,LSE,stock
0471.HK,Silkwave Inc,0.177,HKSE,HKSE,stock
GRFX,Graphex Group Limited,0.305,American Stock Exchange,AMEX,stock
MSYS.L,Microsaic Systems plc,1.2,London Stock Exchange,LSE,stock
001230.KS,Dongkuk Steel Mill Company Limited,8150.0,KSE,KSC,stock
SATT,Sativus Tech Corp.,0.2,Other OTC,PNK,stock
JNVR,Janover Inc.,1.22,NASDAQ Capital Market,NASDAQ,stock
0292.HK,Asia Standard Hotel Group Limited,0.058,HKSE,HKSE,stock
ATR,"AptarGroup, Inc.",140.63,New York Stock Exchange,NYSE,stock
HANZA.ST,Hanza AB (publ),67.15,Stockholm Stock Exchange,STO,stock
GLTL.L,SPDR Bloomberg 15+ Year Gilt UCITS ETF,39.32,London Stock Exchange,LSE,etf
TPVG,TriplePoint Venture Growth BDC Corp.,9.24,New York Stock Exchange,NYSE,stock
EMKR,EMCORE Corporation,3.64,NASDAQ Global Market,NASDAQ,stock
ALC.TO,Algoma Central Corporation,14.76,Toronto Stock Exchange,TSX,stock
0MUF.L,CENIT Aktiengesellschaft,12.3,London Stock Exchange,LSE,stock
AMPS,"Altus Power, Inc.",4.69,New York Stock Exchange,NYSE,stock
1737.TW,"Taiyen Biotech Co., Ltd.",33.75,Taiwan,TAI,stock
EVTC,"EVERTEC, Inc.",38.4,New York Stock Exchange,NYSE,stock
ZIG,The Acquirers Fund ETF,37.115,New York Stock Exchange Arca,AMEX,etf
0Z4I.L,Sunny Optical Technology (Group) Company Limited,40.6729,London Stock Exchange,LSE,stock
EQTL,Equitech International Corporation,1.2,Other OTC,PNK,stock
HHLE.TO,Harvest Healthcare Leaders Enhanced Income ETF,10.44,Toronto Stock Exchange,TSX,etf
1083.HK,Towngas Smart Energy Company Limited,3.07,HKSE,HKSE,stock
CISY.TA,CI Systems (Israel) Ltd.,1769.0,Tel Aviv,TLV,stock
0082.HK,Crazy Sports Group Limited,0.091,HKSE,HKSE,stock
3280.T,"STrust Co.,Ltd.",684.0,Tokyo,JPX,stock
6901.T,"Sawafuji Electric Co., Ltd.",1226.0,Tokyo,JPX,stock
0QK5.L,INFICON Holding AG,1286.3319,London Stock Exchange,LSE,stock
ZZRG.F,Allianz Global Investors Fund - Allianz Global Artificial Intelligence Fund,24.37,Frankfurt Stock Exchange,XETRA,etf
BLGO,"BioLargo, Inc.",0.2994,Other OTC,PNK,stock
CELZ,"Creative Medical Technology Holdings, Inc.",5.62,NASDAQ Capital Market,NASDAQ,stock
VU.PA,VusionGroup,146.8,Paris,BRU,stock
ARTMX,Artisan Mid Cap Fund Inv Shs,37.7,NASDAQ,NASDAQ,trust
0083.HK,Sino Land Company Limited,8.16,HKSE,HKSE,stock
CHCI,"Comstock Holding Companies, Inc.",5.22,NASDAQ Capital Market,NASDAQ,stock
9992.HK,Pop Mart International Group Limited,29.85,HKSE,HKSE,stock
SGU,"Star Group, L.P.",10.42,New York Stock Exchange,NYSE,stock
LMKDC.IS,LIMAK DOGU ANADOLU,27.96,Istanbul Stock Exchange,IST,stock
RMRDF,Radisson Mining Resources Inc.,0.1447,Other OTC,PNK,stock
BORR,Borr Drilling Limited,6.21,New York Stock Exchange,NYSE,stock
603817.SS,"Fujian Haixia Environmental Protection Group Co.,Ltd.",5.58,Shanghai,SHH,stock
EEG.AX,Empire Energy Group Limited,0.17,Australian Securities Exchange,ASX,stock
QUAL.AT,Quality & Reliability A.B.E.E,1.24,Athens,ATH,stock
BOFFICE.BK,Bhiraj Office Leasehold Real Estate Investment Trust,4.96,Thailand,SET,stock
1316.HK,Nexteer Automotive Group Limited,3.59,HKSE,HKSE,stock
NOTE.ST,NOTE AB (publ),143.0,Stockholm Stock Exchange,STO,stock
KRBP,"Kiromic BioPharma, Inc.",2.85,NASDAQ Capital Market,NASDAQ,stock
ERG.MI,ERG S.p.A.,23.06,Milan,EURONEXT,stock
SIBN,"SI-BONE, Inc.",15.57,NASDAQ Global Market,NASDAQ,stock
JLG.AX,Johns Lyng Group Limited,6.135,Australian Securities Exchange,ASX,stock
GMPXF,RF Capital Group Inc.,5.36,Other OTC,PNK,stock
601113.SS,"Yiwu Huading Nylon Co.,Ltd.",3.63,Shanghai,SHH,stock
601818.SS,China Everbright Bank Company Limited,3.08,Shanghai,SHH,stock
BWAY.TA,BrainsWay Ltd.,1002.0,Tel Aviv,TLV,stock
HAPPSTMNDS.BO,Happiest Minds Technologies Limited,805.7,Bombay Stock Exchange,BSE,stock
003475.KS,"Yuanta Securities Korea Co., Ltd.",2720.0,KSE,KSC,stock
2386.HK,"SINOPEC Engineering (Group) Co., Ltd.",4.64,HKSE,HKSE,stock
2166.HK,Smart-Core Holdings Limited,1.3,HKSE,HKSE,stock
MVNE.TA,Mivne Real Estate (K.D) Ltd,921.6,Tel Aviv,TLV,stock
300455.SZ,"Beijing Aerospace Shenzhou Intelligent Equipment Technology Co., Ltd.",10.85,Shenzhen,SHZ,stock
3899.HK,CIMC Enric Holdings Limited,8.05,HKSE,HKSE,stock
IS7.DE,InTiCa Systems AG,4.18,Frankfurt Stock Exchange,XETRA,stock
4576.TW,Hiwin Mikrosystem Corp.,89.5,Taiwan,TAI,stock
SMN.AX,Structural Monitoring Systems Plc,0.42,Australian Securities Exchange,ASX,stock
RATO-A.ST,Ratos AB (publ),36.6,Stockholm Stock Exchange,STO,stock
QCCO,"QC Holdings, Inc.",0.465,Other OTC,PNK,stock
WING,Wingstop Inc.,359.88,NASDAQ Global Select,NASDAQ,stock
VGVF.DE,Vanguard FTSE Developed World UCITS ETF,93.04,Frankfurt Stock Exchange,XETRA,etf
4613.T,"Kansai Paint Co., Ltd.",2160.5,Tokyo,JPX,stock
092220.KS,Kec Corporation,1404.0,KSE,KSC,stock
688039.SS,"Hangzhou Arcvideo Technology Co., Ltd.",28.79,Shanghai,SHH,stock
NPR.AX,Newmark Property REIT,1.4,Australian Securities Exchange,ASX,stock
1060.HK,Alibaba Pictures Group Limited,0.46,HKSE,HKSE,stock
KNOS.L,Kainos Group plc,994.0,London Stock Exchange,LSE,stock
MTX.DE,MTU Aero Engines AG,234.5,Frankfurt Stock Exchange,XETRA,stock
0817.HK,China Jinmao Holdings Group Limited,0.52,HKSE,HKSE,stock
CUBE,CubeSmart,44.55,New York Stock Exchange,NYSE,stock
0L6Z.L,Sirius XM Holdings Inc.,3.6988,London Stock Exchange,LSE,stock
PCS.BO,PCS Technology Limited,32.07,Bombay Stock Exchange,BSE,stock
603577.SS,"Qingdao Huijintong Power Equipment Co.,Ltd.",8.24,Shanghai,SHH,stock
8850.T,Starts Corporation Inc.,3200.0,Tokyo,JPX,stock
WEST,"Westrock Coffee Company, LLC",10.22,NASDAQ Global Market,NASDAQ,stock
SITINET.NS,SITI Networks Limited,0.65,National Stock Exchange of India,NSE,stock
RSS.V,RESAAS Services Inc.,0.375,Toronto Stock Exchange Ventures,TSXV,stock
SIMPLXREA.BO,Simplex Realty Limited,138.1,Bombay Stock Exchange,BSE,stock
